,label,title,subtitle,num_colors,price,reduced_price,url,description,colors,n_reviews,avg_stars
1043,,Air Jordan 1 Utility,Men's Shoes,1 Color,$170,,https://www.nike.com/t/air-jordan-1-utility-mens-shoes-tVwJ91/DO8727-200,"Utilitarian, but make it edgy: these AJ1s give you functional use without compromising that style you know and love. Tough canvas, stash pockets and webbing pulls give these classic kicks a hit of rugged versatility.",Shown: Neutral Olive/Light Steel Grey/Black/Taxi,2.0,5.0
1044,,The Nike Premier 3 TF,Artificial-Turf Soccer Shoes,1 Color,$95,,https://www.nike.com/t/premier-3-tf-artificial-turf-soccer-shoes-1f2zKX/AT6178-010,Get back to basics with the Nike Premier 3. A timeless silhouette wrapped in supple leather helps keep you moving confidently as an unstoppable force on the field.,Shown: Black/White,6.0,4.3
1045,,Nike Phantom GT2 Club MG,Multi-Ground Soccer Cleats,3 Colors,$55,,https://www.nike.com/t/phantom-gt2-club-mg-multi-ground-soccer-cleats-74ZB5F/DA5640-407,"Building off the Phantom GT, the Nike Phantom GT2 Club MG features an updated design and patterning that's engineered to help you place your shots with pinpoint accuracy. Off-center lacing provides a clean strike zone to help you dribble, pass and score with precision.",Black/Bright Crimson/Summit White; Glacier Ice/Yellow Strike/Coconut Milk/Black; Black/Dark Grey/Metallic Silver,56.0,4.2
1046,,Nike Zoom Javelin Elite 3,Track & Field Throwing Spikes,2 Colors,$150,,https://www.nike.com/t/zoom-javelin-elite-3-track-field-throwing-spikes-FsRcHV/AJ8119-101,"Low to the ground with a locked-in feel, the Nike Zoom Javelin Elite 3 is ready to “send it,” thanks to a new design that's built for complete stability and power transfer.",White/Laser Orange/Hyper Pink/Black; Black/Volt/Mint Foam/Cave Purple,2.0,1.5
1047,,Air Jordan XXXVII,Big Kids' Shoes,1 Color,$140,,https://www.nike.com/t/air-jordan-xxxvii-big-kids-shoes-939gTC/DD7421-160,"You've got the hops and the speed—lace up in shoes that enhance what you bring to the court. The latest AJ is all about takeoffs and landings, with multiple Air units to get you off the ground and our signature Formula 23 foam to cushion your impact. Up top, you'll find layers of tough, reinforced leno-weave fabric that'll keep you contained—and leave your game uncompromised—no matter how fast you move.",Shown: White/Light Silver/Black/True Red,0.0,0.0
1048,,Nike Venture Runner,Women's Shoes,2 Colors,$70,$66.97,https://www.nike.com/t/venture-runner-womens-shoes-sG1WLs/CK2948-001,"Elevating OG style with a cushy insole and airy mesh upper, the Nike Venture Runner nods to the iconic shoes of the '80s that started the running revolution. The exposed stitching, high-flex upper and a micro-branded heel clip add fresh DNA to your laidback look.",Pink Oxford/Black/White/Summit White; Black/Black/White,118.0,4.7
1049,,Nike Air Max 1,Men's Shoes,1 Color,$150,,https://www.nike.com/t/air-max-1-mens-shoes-fjQJJF/DV3196-800,"Meet the leader of the pack. First released in 1987, the Nike Air Max 1 was the first shoe in the family to bring Air to the world. With a fast-paced look, tried-and-true cushioning and classic wavy mudguard, it’s no wonder it’s reigned supreme ever since.",Shown: Light Madder Root/Rattan/Worn Blue/Vivid Green,2.0,4.0
1050,,Nike Waffle Trainer 2 SP,Men's Shoes,1 Color,$100,,https://www.nike.com/t/waffle-trainer-2-sp-mens-shoes-MkbSQ4/DB3004-800,"Staying true to the timeless track style you love, the Nike Waffle Trainer 2 brings you the original look of heritage Nike running. With its iconic Waffle outsole, throwback Swoosh and old-school suede accents, it's refreshingly retro.",,27.0,4.6
1051,,Nike Court Legacy,Little Kids' Shoes,7 Colors,$45,$35.97,https://www.nike.com/t/court-legacy-little-kids-shoes-Mb7npn/DA5381-117,"The Nike Court Legacy serves up classic tennis style for kiddos. They're durable and comfy with heritage stitching and a retro Swoosh. When your lil’ one puts these on—it’s game, set, match.",Black/Anthracite/Black; Black/University Red/White; White/Sesame/Honeydew/Pink Foam; White/White; White/Mint Foam/Amethyst Ash/Metallic Red Bronze; White/Mint Foam/Vivid Purple/Midnight Navy; White/Desert Ochre/Gum Light Brown/Black; Black/Gum Light Brown/White,82.0,4.6
1052,,Nike Air Force 1 '07 Premium,Men's Shoes,1 Color,$140,,https://www.nike.com/t/air-force-1-07-premium-mens-shoes-QRS4Fd/DV2215-100,"Step into never-ending style with the Air Force 1 '07 Premium. Inspired by LA’s open-air flea markets, it brings the heat with an old-meets-new aesthetic. Mixed and matched materials pair with exaggerated stitching and frayed details to create a crafty DIY look that honors the streetwear mecca’s flair for pushing boundaries and breathing new life into hand-me-downs. For extra sunny vibes, we embroidered California poppies throughout.",Shown: Sail/Coconut Milk/White Onyx/Dark Marina Blue,0.0,0.0
